Acc	Subgenus	Genus	Country	Continent	Brazilian State	Biome	Host	Name	Collection_Date
MK991948	Minunacovirus	Alphacoronavirus	South Korea	Asia		Other	Myotis macropus	Bat coronavirus B18 183	24/10/2018
MK991951	Minunacovirus	Alphacoronavirus	South Korea	Asia		Other	Miniopterus schreibersii	Bat coronavirus B18 198	25/12/2018
MN183146	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Rhinolophus rhodesiae	Bat coronavirus isolate 19020	05/02/2015
MN183152	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Rhinolophus	Bat coronavirus isolate 19026	06/02/2015
MN183155	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Rhinolophus lobatus	Bat coronavirus isolate 18991	04/02/2015
MN183156	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Rhinolophus lobatus	Bat coronavirus isolate 18992	04/02/2015
MN183162	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Triaenops afer	Bat coronavirus isolate 18958	03/02/2015
MN183163	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Triaenops afer	Bat coronavirus isolate 18996	04/02/2015
MN183164	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Triaenops afer	Bat coronavirus isolate 19154	24/05/2015
MN183165	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Triaenops afer	Bat coronavirus isolate 19174	24/05/2015
MN183166	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Triaenops afer	Bat coronavirus isolate 19183	24/05/2015
MN183167	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Triaenops afer	Bat coronavirus isolate 18997	04/02/2015
MN183168	Unclassified	Alphacoronavirus	Mozambique	Africa		Other	Triaenops afer	Bat coronavirus isolate 18993	04/02/2015
MN183169	Setracovirus	Alphacoronavirus	Mozambique	Africa		Other	Triaenops afer	Bat coronavirus isolate 19185	24/05/2015
MN183184	Unclassified	Alphacoronavirus	Madagascar	Africa		Other	Mormopterus jugularis	Bat coronavirus isolate 18223	17/03/2013
MN183189	Rhinacovirus	Alphacoronavirus	Mozambique	Africa		Other	Rhinolophus lobatus	Bat coronavirus isolate 19029	05/02/2015
MN312284	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuliginosus	Miniopterus HKU8 6607	
MN312295	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuscus	Miniopterus HKU8 7355	
MN312297	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuscus	Miniopterus HKU8 7360	
